DonorName,Textbox5,GeographicAreaCode_ISO2,GeographicAreaCode_ISO3,GeographicAreaName,DonorParentName,ReplenishmentCycle,Indicator,TransactionType,SourceCurrency,Year,Month,Amount
Netherlands,,NL,NLD,Netherlands,Public Sector,2001-2005,Contribution,Source Currency,EUR,2002,Dec,7500000
France,,FR,FRA,France,Public Sector,2017-2019,Contribution,Source Currency,EUR,2019,Dec,257600000
Niger,,NE,NER,Niger,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,1000000
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2008-2010,Contribution,USD Equivalent,GBP,2008,Dec,78520000.01
Norway,,NO,NOR,Norway,Public Sector,2001-2005,Pledge,Source Currency,NOK,2002,Dec,130000000
Greece,,GR,GRC,Greece,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2008,Dec,1362200
Denmark,,DK,DNK,Denmark,Public Sector,2011-2013,Contribution,Source Currency,DKK,2012,Dec,145000000
Canada,,CA,CAN,Canada,Public Sector,2011-2013,Contribution,USD Equivalent,CAD,2011,Dec,176470588.2
Sweden,,SE,SWE,Sweden,Public Sector,2001-2005,Contribution,USD Equivalent,SEK,2003,Dec,11488363.44
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2011-2013,Contribution,USD Equivalent,EUR,2012,Dec,3123500
Ireland,,IE,IRL,Ireland,Public Sector,2017-2019,Pledge,Source Currency,EUR,2016,Sep,30000000
Switzerland,,CH,CHE,Switzerland,Public Sector,2008-2010,Contribution,USD Equivalent,CHF,2008,Dec,6688963.21
India,,IN,IND,India,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2009,Dec,2000000
France,,FR,FRA,France,Public Sector,2001-2005,Contribution,Source Currency,EUR,2004,Dec,150000000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2006-2007,Pledge,USD Equivalent,EUR,2007,Dec,3107700
Belgium,,BE,BEL,Belgium,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2008,Dec,15919114
Belgium,,BE,BEL,Belgium,Public Sector,2011-2013,Contribution,USD Equivalent,EUR,2012,Dec,27108900
Switzerland,,CH,CHE,Switzerland,Public Sector,2001-2005,Pledge,USD Equivalent,CHF,2005,Dec,3927112.78
Finland,,FI,FIN,Finland,Public Sector,2011-2013,Contribution,Source Currency,EUR,2012,Dec,4000000
European Commission,,,,,Public Sector,2011-2013,Contribution,USD Equivalent,EUR,2012,Dec,127921000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2015,Apr,67953250
Japan,,JP,JPN,Japan,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2015,Mar,190232812
Norway,,NO,NOR,Norway,Public Sector,2014-2016,Contribution,Source Currency,NOK,2014,Nov,500000000
Canada,,CA,CAN,Canada,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2004,Dec,50005530
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2008-2010,Contribution,Source Currency,GBP,2009,Dec,115000000
Netherlands,,NL,NLD,Netherlands,Public Sector,2001-2005,Pledge,Source Currency,EUR,2004,Dec,45000000
Netherlands,,NL,NLD,Netherlands,Public Sector,2001-2005,Pledge,USD Equivalent,EUR,2005,Dec,56067100
